QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,PRODUCTLINE,MSRP,COUNTRY,DEALSIZE,sale_year,sale_month,sale_day
30,95.7,2,2871.0,2003-02-24,Motorcycles,95,USA,Small,2003,2,24
34,81.35,5,2765.9,2003-05-07,Motorcycles,95,France,Small,2003,5,7
41,94.74,2,3884.34,2003-07-01,Motorcycles,95,France,Medium,2003,7,1
45,83.26,6,3746.7,2003-08-25,Motorcycles,95,USA,Medium,2003,8,25
49,100.0,14,5205.27,2003-10-10,Motorcycles,95,USA,Medium,2003,10,10
36,96.66,1,3479.76,2003-10-28,Motorcycles,95,USA,Medium,2003,10,28
29,86.13,9,2497.77,2003-11-11,Motorcycles,95,France,Small,2003,11,11
48,100.0,1,5512.32,2003-11-18,Motorcycles,95,Norway,Medium,2003,11,18
22,98.57,2,2168.54,2003-12-01,Motorcycles,95,USA,Small,2003,12,1
41,100.0,14,4708.44,2004-01-15,Motorcycles,95,France,Medium,2004,1,15
37,100.0,1,3965.66,2004-02-20,Motorcycles,95,Australia,Medium,2004,2,20
23,100.0,7,2333.12,2004-04-05,Motorcycles,95,USA,Small,2004,4,5
28,100.0,2,3188.64,2004-05-18,Motorcycles,95,USA,Medium,2004,5,18
34,100.0,2,3676.76,2004-06-28,Motorcycles,95,USA,Medium,2004,6,28
45,92.83,1,4177.35,2004-07-23,Motorcycles,95,France,Medium,2004,7,23
36,100.0,6,4099.68,2004-08-27,Motorcycles,95,USA,Medium,2004,8,27
23,100.0,9,2597.39,2004-09-30,Motorcycles,95,Finland,Small,2004,9,30
41,100.0,5,4394.38,2004-10-15,Motorcycles,95,Norway,Medium,2004,10,15
46,94.74,1,4358.04,2004-11-02,Motorcycles,95,USA,Medium,2004,11,2
42,100.0,1,4396.14,2004-11-15,Motorcycles,95,USA,Medium,2004,11,15
41,100.0,9,7737.93,2004-11-24,Motorcycles,95,Austria,Large,2004,11,24
20,72.55,13,1451.0,2004-12-17,Motorcycles,95,Australia,Small,2004,12,17
21,34.91,12,733.11,2005-02-03,Motorcycles,95,France,Small,2005,2,3
42,76.36,4,3207.12,2005-03-03,Motorcycles,95,USA,Medium,2005,3,3
24,100.0,7,2434.56,2005-04-08,Motorcycles,95,UK,Small,2005,4,8
66,100.0,2,7516.08,2005-05-13,Motorcycles,95,Spain,Large,2005,5,13
26,100.0,11,5404.62,2003-01-29,Classic Cars,214,Norway,Medium,2003,1,29
29,100.0,1,7209.11,2003-03-24,Classic Cars,214,Sweden,Large,2003,3,24
38,100.0,11,7329.06,2003-05-28,Classic Cars,214,Spain,Large,2003,5,28
37,100.0,11,7374.1,2003-07-24,Classic Cars,214,USA,Large,2003,7,24
45,100.0,8,10993.5,2003-09-19,Classic Cars,214,Singapore,Large,2003,9,19
21,100.0,1,4860.24,2003-10-20,Classic Cars,214,USA,Medium,2003,10,20
34,100.0,4,8014.82,2003-11-06,Classic Cars,214,Australia,Large,2003,11,6
23,100.0,8,5372.57,2003-11-13,Classic Cars,214,USA,Medium,2003,11,13
42,100.0,11,7290.36,2003-11-25,Classic Cars,214,France,Large,2003,11,25
47,100.0,6,9064.89,2003-12-05,Classic Cars,214,Canada,Large,2003,12,5
35,100.0,3,6075.3,2004-01-29,Classic Cars,214,USA,Medium,2004,1,29
29,100.0,2,6463.23,2004-03-10,Classic Cars,214,USA,Medium,2004,3,10
34,100.0,9,6120.34,2004-05-04,Classic Cars,214,USA,Medium,2004,5,4
32,100.0,6,7680.64,2004-06-15,Classic Cars,214,Japan,Large,2004,6,15
21,100.0,9,4905.39,2004-07-19,Classic Cars,214,Australia,Medium,2004,7,19
34,100.0,2,8014.82,2004-08-17,Classic Cars,214,Italy,Large,2004,8,17
37,100.0,11,7136.19,2004-09-08,Classic Cars,214,Sweden,Large,2004,9,8
47,100.0,6,10172.7,2004-10-11,Classic Cars,214,France,Large,2004,10,11
48,100.0,3,11623.7,2004-10-21,Classic Cars,214,USA,Large,2004,10,21
40,100.0,1,6000.4,2004-11-04,Classic Cars,214,USA,Medium,2004,11,4
26,100.0,3,3003.0,2004-11-18,Classic Cars,214,USA,Medium,2004,11,18
30,100.0,1,3944.7,2004-11-29,Classic Cars,214,Australia,Medium,2004,11,29
32,100.0,10,5691.84,2004-12-10,Classic Cars,214,USA,Medium,2004,12,10
41,100.0,2,4514.92,2005-01-20,Classic Cars,214,USA,Medium,2005,1,20
36,100.0,3,8254.8,2005-02-17,Classic Cars,214,USA,Large,2005,2,17
